registry_record_id,registry_source_id,role,evidence_span,license_status
primitive.repo.scripts_config_py.const.py_const_scripts_config_openai_judge_profile_id,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 576, ""symbol"": ""OPENAI_JUDGE_PROFILE_ID""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_ollama_gemma_rerank_profile_id,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 577, ""symbol"": ""OLLAMA_GEMMA_RERANK_PROFILE_ID""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_model_runtime_profiles,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 579, ""symbol"": ""MODEL_RUNTIME_PROFILES""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_claude_code_tool_tag,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 627, ""symbol"": ""CLAUDE_CODE_TOOL_TAG""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_claude_flow_tool_tag,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 628, ""symbol"": ""CLAUDE_FLOW_TOOL_TAG""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_registered_tool_tags,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 629, ""symbol"": ""REGISTERED_TOOL_TAGS""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_deepseek_r1_model_family_tag,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 645, ""symbol"": ""DEEPSEEK_R1_MODEL_FAMILY_TAG""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_registered_model_family_tags,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 646, ""symbol"": ""REGISTERED_MODEL_FAMILY_TAGS""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_gpt_pricing_class,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 654, ""symbol"": ""GPT_PRICING_CLASS""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_registered_model_class_values,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 655, ""symbol"": ""REGISTERED_MODEL_CLASS_VALUES""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_ollama_llama3_example_model,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 663, ""symbol"": ""OLLAMA_LLAMA3_EXAMPLE_MODEL""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_openai_gpt4o_example_model,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 664, ""symbol"": ""OPENAI_GPT4O_EXAMPLE_MODEL""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_openai_gpt4o_mini_example_model,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 665, ""symbol"": ""OPENAI_GPT4O_MINI_EXAMPLE_MODEL""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_chatanywhere_demo_model,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 671, ""symbol"": ""CHATANYWHERE_DEMO_MODEL""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_registered_example_model_values,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 673, ""symbol"": ""REGISTERED_EXAMPLE_MODEL_VALUES""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_default_embedding_model,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 701, ""symbol"": ""DEFAULT_EMBEDDING_MODEL""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_default_sentence_transformers_embedding_model,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 702, ""symbol"": ""DEFAULT_SENTENCE_TRANSFORMERS_EMBEDDING_MODEL""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_hash_bow_embedding_model,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 703, ""symbol"": ""HASH_BOW_EMBEDDING_MODEL""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_tfidf_svd_embedding_model,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 704, ""symbol"": ""TFIDF_SVD_EMBEDDING_MODEL""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_hash_bow_fallback_dimensions,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 705, ""symbol"": ""HASH_BOW_FALLBACK_DIMENSIONS""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_tfidf_svd_dimensions,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 706, ""symbol"": ""TFIDF_SVD_DIMENSIONS""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_embedding_models,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 710, ""symbol"": ""EMBEDDING_MODELS""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_default_ollama_embed_model,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 722, ""symbol"": ""DEFAULT_OLLAMA_EMBED_MODEL""}",candidate
primitive.repo.scripts_config_py.const.py_const_scripts_config_default_openai_embed_model,source_b87e653538f4677e71205a2e,derived_from,"{""line"": 723, ""symbol"": ""DEFAULT_OPENAI_EMBED_MODEL""}",candidate
